No,Jenis BMN,Kode Satker,Nama Satker,Kode Barang,NUP,Nama Barang,Merk,Tipe,Kondisi,Nama,Tanggal Perolehan,Nilai Perolehan,Nilai Buku,Status Penggunaan,gps_latitude,gps_longitude,Alamat,RT/RW,Kelurahan/Desa,Kecamatan,Kab/Kota,Provinsi,Nama K/L,Kode Register,KELOMPOK BMN,Kelompok Indeks,Indeks Total,Start_date,Nilai Premi
253,RUMAH NEGARA,004010900450780000KD,BPK PERWAKILAN PROVINSI RIAU,4010201007,2,Rumah Negara Golongan I Tipe C Permanen,Rumah Eselon III,70,Baik,Rumah Eselon III 70,2012-12-06,"147.436.000,00",122863330,Digunakan sendiri untuk operasional,,,Jl. Rawa wiri,-/-/-,Tangkerang Labuai,Bukit Raya,KOTA PEKANBARU,RIAU,"0,5",E10638580CCA3C57E0531561F20AF428,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"289121,996"
255,RUMAH NEGARA,004010900450780000KD,BPK PERWAKILAN PROVINSI RIAU,4010201010,1,Rumah Negara Golongan I Tipe D Permanen,Rumah eselon IV,54,Baik,Rumah eselon IV 54,2012-12-06,"216.463.078,00",187823821,Digunakan sendiri untuk operasional,,,Jl. Rawa Wiri,-/-/-,Tangkerang Labuai,Bukit Raya,KOTA PEKANBARU,RIAU,"0,5",E10638580CD33C57E0531561F20AF428,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"424484,096"
256,RUMAH NEGARA,004010900450780000KD,BPK PERWAKILAN PROVINSI RIAU,4010201010,2,Rumah Negara Golongan I Tipe D Permanen,Rumah eselon IV,54,Baik,Rumah eselon IV 54,2012-12-06,"216.463.078,00",185870662,Digunakan sendiri untuk operasional,,,Jl. Rawa Wiri,-/-/-,Tangkerang Labuai,Bukit Raya,KOTA PEKANBARU,RIAU,"0,5",E10638580CCD3C57E0531561F20AF428,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"424484,096"
258,RUMAH NEGARA,004010900450780000KD,BPK PERWAKILAN PROVINSI RIAU,4010201010,4,Rumah Negara Golongan I Tipe D Permanen,Rumah eselon IV,54,Baik,Rumah eselon IV 54,2012-12-06,"216.463.078,00",185870662,Digunakan sendiri untuk operasional,,,Jl. Rawa Wiri,-/-/-,Tangkerang Labuai,Bukit Raya,KOTA PEKANBARU,RIAU,"0,5",E10638580CCE3C57E0531561F20AF428,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"424484,096"
261,RUMAH NEGARA,004010900450780000KD,BPK PERWAKILAN PROVINSI RIAU,4010201010,7,Rumah Negara Golongan I Tipe D Permanen,Rumah eselon IV,54,Baik,Rumah eselon IV 54,2012-12-06,"216.463.078,00",185870662,Digunakan sendiri untuk operasional,,,Jl. Rawa Wiri,-/-/-,Tangkerang Labuai,Bukit Raya,KOTA PEKANBARU,RIAU,"0,5",E10638580CD43C57E0531561F20AF428,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"424484,096"
270,RUMAH NEGARA,004011000445243000KD,BPK PERWAKILAN PROVINSI JAMBI,4010201010,20,Rumah Negara Golongan I Tipe D Permanen,,D Permanen,Baik,D Permanen,2012-12-31,"227.059.000,00",189215830,Digunakan sendiri untuk operasional,,,Telaga Biru No. E.4.2,21,Selamat,Telanaipura,JAMBI,JAMBI,"0,5",E106387BD9C3DACDE0531261F20A13C9,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"445262,699"
276,RUMAH NEGARA,004011100579213000KD,BPK RI PERWAKILAN PROVINSI SUMATERA SELATAN,4010201004,2,Rumah Negara Golongan I Tipe B Permanen,,,Baik,,2014-12-07,"1.846.204.836,00",1579265354,Digunakan sendiri untuk operasional,,,Jl Bank Raya,6,Demang Lebar Daun,Ilir TImur II,KOTA PALEMBANG,SUMATERA SELATAN,"0,5",E10638649E3C3C69E0531561F20A24E5,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"3620407,683"
277,RUMAH NEGARA,004011100579213000KD,BPK RI PERWAKILAN PROVINSI SUMATERA SELATAN,4010201007,1,Rumah Negara Golongan I Tipe C Permanen,Rumah Dinas Eselon III,70,Baik,Rumah Dinas Eselon III 70,2002-11-19,"177.840.644,00",141288921,Digunakan sendiri untuk operasional,,,KOMP. TJ. PENGHARAPAN NO.07 PALEMBANG,039/014,8 ILIR,ILIR TIMUR II,KOTA PALEMBANG,SUMATERA SELATAN,"0,5",E10638649E4F3C69E0531561F20A24E5,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"348745,5029"
279,RUMAH NEGARA,004011100579213000KD,BPK RI PERWAKILAN PROVINSI SUMATERA SELATAN,4010201007,3,Rumah Negara Golongan I Tipe C Permanen,Rumah Dinas Eselon III,70,Baik,Rumah Dinas Eselon III 70,2002-11-19,"174.704.717,00",138675648,Digunakan sendiri untuk operasional,,,KOMP. TJ. PENGHARAPAN NO.11 PALEMBANG,039/014,8 ILIR,ILIR TIMUR II,KOTA PALEMBANG,SUMATERA SELATAN,"0,5",E10638649E493C69E0531561F20A24E5,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"342595,95"
280,RUMAH NEGARA,004011100579213000KD,BPK RI PERWAKILAN PROVINSI SUMATERA SELATAN,4010201010,1,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Eselon IV,54,Baik,Rumah Dinas Eselon IV 54,2002-11-19,"111.968.000,00",87974855,Digunakan sendiri untuk operasional,,,KOMP. TJ. PENGHARAPAN NO.13 PALEMBANG,039/014,8 ILIR,ILIR TIMUR II,KOTA PALEMBANG,SUMATERA SELATAN,"0,5",E10638649E3F3C69E0531561F20A24E5,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"219569,248"
284,RUMAH NEGARA,004011100579213000KD,BPK RI PERWAKILAN PROVINSI SUMATERA SELATAN,4010201010,5,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Eselon IV,54,Baik,Rumah Dinas Eselon IV 54,2003-10-21,"111.968.000,00",88641335,Digunakan sendiri untuk operasional,,,KOMP. TJ. PENGHARAPAN NO.21 PALEMBANG,039/014,8 ILIR,ILIR TIMUR II,KOTA PALEMBANG,SUMATERA SELATAN,"0,5",E10638649E373C69E0531561F20A24E5,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"219569,248"
287,RUMAH NEGARA,004011100579213000KD,BPK RI PERWAKILAN PROVINSI SUMATERA SELATAN,4010201010,8,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Eselon IV,54,Baik,Rumah Dinas Eselon IV 54,2003-10-21,"152.585.783,00",123720329,Digunakan sendiri untuk operasional,,,KOMP. TJ. PENGHARAPAN NO.26 PALEMBANG,039/014,8 ILIR,ILIR TIMUR II,KOTA PALEMBANG,SUMATERA SELATAN,"0,5",E10638649E383C69E0531561F20A24E5,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"299220,7205"
290,RUMAH NEGARA,004011100579213000KD,BPK RI PERWAKILAN PROVINSI SUMATERA SELATAN,4010201010,11,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Eselon IV,54,Baik,Rumah Dinas Eselon IV 54,2003-12-30,"111.968.000,00",88641335,Digunakan sendiri untuk operasional,,,KOMP. TJ. PENGHARAPAN NO.20 PALEMBANG,039/014,8 ILIR,ILIR TIMUR II,KOTA PALEMBANG,SUMATERA SELATAN,"0,5",E10638649E4A3C69E0531561F20A24E5,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"219569,248"
292,RUMAH NEGARA,004011100579213000KD,BPK RI PERWAKILAN PROVINSI SUMATERA SELATAN,4010202016,2,Rumah Negara Golongan II Berupa Mess/Asrama,Rumah Negara,,Baik,Rumah Negara,2005-12-30,"230.339.000,00",190738516,Digunakan sendiri untuk operasional,,,Jalan,Lunjuk Jaya,Kota Palembang,Ilir Barat I,KOTA PALEMBANG,SUMATERA SELATAN,"0,5",E10638649E413C69E0531561F20A24E5,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"451694,779"
295,RUMAH NEGARA,004011200445237000KD,BPK RI PERWAKILAN PROVINSI LAMPUNG,4010201007,1,Rumah Negara Golongan I Tipe C Permanen,RUMAH DINAS ESELON 3,65,Baik,RUMAH DINAS ESELON 3 65,2012-11-01,"233.179.000,00",194315830,Digunakan sendiri untuk operasional,,,Jl. Pangeran Emir M. Noor,8,Sumur Puteri,Teluk Betung Utara,KOTA BANDAR LAMPUNG,LAMPUNG,"0,5",E2AA275D94B52C53E0531561F20A6B7F,BMN PREFEREN REALISASI,4,"0,5",06/17/2027,"457264,019"
297,RUMAH NEGARA,004011200445237000KD,BPK RI PERWAKILAN PROVINSI LAMPUNG,4010201007,3,Rumah Negara Golongan I Tipe C Permanen,RUMAH DINAS ESELON 3,65,Baik,RUMAH DINAS ESELON 3 65,2012-11-01,"219.622.000,00",183018337,Digunakan sendiri untuk operasional,,,Jalan Pangeran Emir M. Noor,8,Sumur Puteri,Teluk Betung Utara,KOTA BANDAR LAMPUNG,LAMPUNG,"0,5",E2AA275D94B82C53E0531561F20A6B7F,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"430678,742"
299,RUMAH NEGARA,004011200445237000KD,BPK RI PERWAKILAN PROVINSI LAMPUNG,4010201010,2,Rumah Negara Golongan I Tipe D Permanen,RUMAH ESELON 4 NO 2,Rumah Jabatan,Baik,RUMAH ESELON 4 NO 2 Rumah Jabatan,2007-12-10,"104.375.000,00",84804687,Digunakan sendiri untuk operasional,,,Kayu Manis no. 1,09 LK. 1,Sepang Jaya,Kedaton,KOTA BANDAR LAMPUNG,LAMPUNG,"0,5",E2AA275D94C32C53E0531561F20A6B7F,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"204679,375"
26,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,19,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK A-18,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK A-18 Permanen,2000-01-01,"1.004.521.000,00",772708465,Digunakan sendiri untuk dinas jabatan,,,JL. KOMPLEK DPR RI BLOK A-18,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED784B859CB30BE0531561F20A4B72,BMN PREFEREN REALISASI,4,"0,3",01/01/2027,"1969865,681"
27,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,20,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK A-19,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK A-19 Permanen,2000-01-01,"1.004.521.000,00",772708465,Digunakan sendiri untuk dinas jabatan,,,JL. KOMPLEK DPR RI BLOK A-19,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED7846A138B30BE0531561F20A4B72,BMN PREFEREN REALISASI,4,"0,3",01/01/2027,"1969865,681"
28,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,21,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK A-20,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK A-20 Permanen,2000-01-01,"1.004.521.000,00",772708465,Digunakan sendiri untuk dinas jabatan,,,JL. KOMPLEK DPR RI BLOK A-20,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED784A1CC1B30BE0531561F20A4B72,BMN PREFEREN REALISASI,4,"0,3",01/01/2027,"1969865,681"
37,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,30,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK A-29,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK A-29 Permanen,2000-01-01,"1.004.521.000,00",772708465,Digunakan sendiri untuk dinas jabatan,,,JL. KOMPLEK DPR RI BLOK A-29,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED7848A99CB30BE0531561F20A4B72,BMN PREFEREN REALISASI,4,"0,3",01/01/2027,"1969865,681"
39,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,32,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK B - 2,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK B - 2 Permanen,2000-01-01,"591.668.000,00",455129225,Digunakan sendiri untuk dinas jabatan,,,JL. KOMPLEK DPR RI BLOK B - 2,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED7847C3BCB30BE0531561F20A4B72,BMN PREFEREN REALISASI,4,"0,3",01/01/2027,"1160260,948"
40,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,33,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK B-3,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK B-3 Permanen,2000-01-01,"591.668.000,00",455129225,Digunakan sendiri untuk dinas jabatan,,,JL. KOMPLEK DPR RI BLOK B-3,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED78484091B30BE0531561F20A4B72,BMN PREFEREN REALISASI,4,"0,3",01/01/2027,"1160260,948"
43,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,36,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK B-6,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK B-6 Permanen,2000-01-01,"591.668.000,00",455129225,Digunakan sendiri untuk dinas jabatan,,,JL. KOMPLEK DPR RI BLOK B-6,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED7847D06BB30BE0531561F20A4B72,BMN PREFEREN REALISASI,4,"0,3",01/01/2027,"1160260,948"
44,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,37,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK B-7,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK B-7 Permanen,2000-01-01,"591.668.000,00",455129225,Digunakan sendiri untuk dinas jabatan,,,JL. KOMPLEK DPR RI BLOK B-7,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED784B0582B30BE0531561F20A4B72,BMN PREFEREN REALISASI,4,"0,3",01/01/2027,"1160260,948"
45,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,38,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK B-8,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK B-8 Permanen,2000-01-01,"591.668.000,00",455129225,Digunakan sendiri untuk dinas jabatan,,,JL. KOMPLEK DPR RI BLOK B-8,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED78483D88B30BE0531561F20A4B72,BMN PREFEREN REALISASI,4,"0,3",01/01/2027,"1160260,948"
49,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,42,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK B-12,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK B-12 Permanen,2000-01-01,"591.668.000,00",455129225,Digunakan sendiri untuk dinas jabatan,,,JL. KOMPLEK DPR RI BLOK B-12,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED784B0587B30BE0531561F20A4B72,BMN PREFEREN REALISASI,4,"0,3",01/01/2027,"1160260,948"
52,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,45,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK B-15,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK B-15 Permanen,2000-01-01,"591.668.000,00",455129225,Digunakan sendiri untuk dinas jabatan,,,JL. KOMPLEK DPR RI BLOK B-15,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED784B859FB30BE0531561F20A4B72,BMN PREFEREN REALISASI,4,"0,3",01/01/2027,"1160260,948"
56,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,49,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK B-19,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK B-19 Permanen,2000-01-01,"591.668.000,00",455129225,Digunakan sendiri untuk dinas jabatan,,,JL. KOMPLEK DPR RI BLOK B-19,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED784A1CC0B30BE0531561F20A4B72,BMN PREFEREN REALISASI,4,"0,3",01/01/2027,"1160260,948"
58,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,51,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK B-21,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK B-21 Permanen,2000-01-01,"591.668.000,00",455129225,Digunakan sendiri untuk dinas jabatan,,,JL.KOMPLEK DPR RI BLOK -21,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED7847C3B9B30BE0531561F20A4B72,BMN PREFEREN REALISASI,4,"0,3",01/01/2027,"1160260,948"
61,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,54,Rumah Negara Golongan I Tipe A Permanen,Komplek RJA DPR RI Kalibata Blok AA-2,Permanen,Baik,Komplek RJA DPR RI Kalibata Blok AA-2 Permanen,2010-03-01,"886.806.000,00",730310820,Digunakan sendiri untuk dinas jabatan,,,Komplek RJA DPR RI Kalibata AA-2,Rw.05 khusus,Rawajati,Pancoran,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED7847D070B30BE0531561F20A4B72,BMN PREFEREN REALISASI,4,"0,3",01/01/2027,"1739026,566"
67,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,60,Rumah Negara Golongan I Tipe A Permanen,Komplek RJA DPR RI Kalibata Blok CC-1,Permanen,Baik,Komplek RJA DPR RI Kalibata Blok CC-1 Permanen,2010-03-01,"886.806.000,00",730310820,Digunakan sendiri untuk dinas jabatan,,,Komplek RJA DPR RI Kalibata CC-1,Rw.05 khusus,Rawajati,Pancoran,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED7847D06EB30BE0531561F20A4B72,BMN PREFEREN REALISASI,4,"0,3",01/01/2027,"1739026,566"
71,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,64,Rumah Negara Golongan I Tipe A Permanen,Komplek RJA DPR RI Kalibata Blok AA-9,,Baik,Komplek RJA DPR RI Kalibata Blok AA-9,2020-12-31,"1.535.302.181,00",1397124983,Digunakan sendiri untuk dinas jabatan,,,Komplek RJA DPR RI Kalibata AA-9,Rw.05 khusus,Rawajati,Pancoran,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED784A1CBEB30BE0531561F20A4B72,BMN PREFEREN REALISASI,4,"0,3",01/01/2027,"3010727,577"
87,RUMAH NEGARA,004010100662745000KD,BPK PERWAKILAN PROVINSI DKI JAKARTA,4010201004,1,Rumah Negara Golongan I Tipe B Permanen,Rumah Dinas Eselon II,274,Baik,Rumah Dinas Eselon II 274,2015-06-29,"781.494.000,00",627088563,Digunakan sendiri untuk operasional,,,Pengadegan I Blok T No 10,7/3,CIKOKO,MAMPANG PRAPATAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,5",E10637F36210BCFBE0531261F20A107D,BMN PREFEREN NOMINATIF,3,"0,5",,"1532509,734"
88,RUMAH NEGARA,004010100662745000KD,BPK PERWAKILAN PROVINSI DKI JAKARTA,4010201007,1,Rumah Negara Golongan I Tipe C Permanen,Rumah Dinas Eselon III,70,Baik,Rumah Dinas Eselon III 70,2007-11-07,"194.902.000,00",126966283,Digunakan sendiri untuk operasional,,,Jati Padang Poncol III,003/08,JATIPADANG,PASAR MINGGU,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,5",E10637F3620EBCFBE0531261F20A107D,BMN PREFEREN NOMINATIF,3,"0,5",,"382202,822"
90,RUMAH NEGARA,004010100662745000KD,BPK PERWAKILAN PROVINSI DKI JAKARTA,4010201007,3,Rumah Negara Golongan I Tipe C Permanen,Rumah Dinas Eselon III,70,Baik,Rumah Dinas Eselon III 70,2007-11-07,"194.902.000,00",126966283,Digunakan sendiri untuk operasional,,,Jati Padang Poncol III,003/08,JATIPADANG,PASAR MINGGU,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,5",E10637F3620DBCFBE0531261F20A107D,BMN PREFEREN NOMINATIF,3,"0,5",,"382202,822"
92,RUMAH NEGARA,004010100662745000KD,BPK PERWAKILAN PROVINSI DKI JAKARTA,4010201010,2,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Eselon IV,56,Baik,Rumah Dinas Eselon IV 56,2007-11-07,"155.922.000,00",101573245,Digunakan sendiri untuk operasional,,,Jati Padang Poncol III,003/08,JATIPADANG,PASAR MINGGU,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,5",E10637F3620CBCFBE0531261F20A107D,BMN PREFEREN NOMINATIF,3,"0,5",,"305763,042"
93,RUMAH NEGARA,004010100662745000KD,BPK PERWAKILAN PROVINSI DKI JAKARTA,4010201010,3,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Eselon IV,56,Baik,Rumah Dinas Eselon IV 56,2007-11-07,"155.922.000,00",101573245,Digunakan sendiri untuk operasional,,,Jati Padang Poncol III,003/08,JATIPADANG,PASAR MINGGU,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,5",E10637F36209BCFBE0531261F20A107D,BMN PREFEREN NOMINATIF,3,"0,5",,"305763,042"
95,RUMAH NEGARA,004010100662745000KD,BPK PERWAKILAN PROVINSI DKI JAKARTA,4010201010,5,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Eselon IV,56,Baik,Rumah Dinas Eselon IV 56,2007-11-07,"155.922.000,00",101573245,Digunakan sendiri untuk operasional,,,Jati Padang Poncol III,003/08,JATIPADANG,PASAR MINGGU,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,5",E10637F36205BCFBE0531261F20A107D,BMN PREFEREN NOMINATIF,3,"0,5",,"305763,042"
98,RUMAH NEGARA,004010100662745000KD,BPK PERWAKILAN PROVINSI DKI JAKARTA,4010201010,8,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Eselon IV,56,Baik,Rumah Dinas Eselon IV 56,2007-11-07,"155.922.000,00",101573245,Digunakan sendiri untuk operasional,,,Jati Padang Pocol III,003/08,JATIPADANG,PASAR MINGGU,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,5",E10637F36215BCFBE0531261F20A107D,BMN PREFEREN NOMINATIF,3,"0,5",,"305763,042"
109,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010201001,10,Rumah Negara Golongan I Tipe A Permanen,RUMAH DINAS ES-IB,RUMAH JABATAN,Baik,RUMAH DINAS ES-IB RUMAH JABATAN,2008-12-13,"666.768.000,00",544796993,Digunakan sendiri untuk operasional,,,RAYA JOGLO,KAV NO.8,SRENGSENG,KEMBANGAN,KOTA JAKARTA BARAT,DKI JAKARTA,"0,5",E2AA275BFF302BB7E0531561F20A8614,BMN PREFEREN NOMINATIF,3,"0,5",,"1307532,048"
125,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010201001,81,Rumah Negara Golongan I Tipe A Permanen,BANGUNAN RUDIN PIMP BPK RI,RUMAH JABATAN,Baik,BANGUNAN RUDIN PIMP BPK RI RUMAH JABATAN,2011-12-14,"1.977.269.880,00",1682543875,Digunakan sendiri untuk operasional,,,GEDUNG PINANG,BLOK SM-11,PONDOK PINANG,KEBAYORAN LAMA,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,5",E2AA275BFF412BB7E0531561F20A8614,BMN PREFEREN NOMINATIF,3,"0,5",,"3877426,235"
126,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010201001,100,Rumah Negara Golongan I Tipe A Permanen,RUDIN PIMPINAN BPK RI,RUMAH JABATAN,Baik,RUDIN PIMPINAN BPK RI RUMAH JABATAN,2011-12-19,"1.151.556.000,00",955270184,Digunakan sendiri untuk operasional,,,GEDUNG HIJAU V,BLOK UB-30,PONDOK PINANG,KEBAYORAN LAMA,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,5",E2AA275BFF762BB7E0531561F20A8614,BMN PREFEREN NOMINATIF,3,"0,5",,"2258201,316"
127,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010201001,120,Rumah Negara Golongan I Tipe A Permanen,RUMAH DINAS,RUMAH DINAS,Baik,RUMAH DINAS RUMAH DINAS,2012-08-14,"1.576.623.000,00",1189862793,Digunakan sendiri untuk operasional,,,JALAN HANKAM KOMPLEK KOPKAMTIB BLOK I NO. 7,-/-/-,JOGLO,KEMBANGAN,KOTA JAKARTA BARAT,DKI JAKARTA,"0,5",E2AA275BFF662BB7E0531561F20A8614,BMN PREFEREN NOMINATIF,3,"0,5",,"3091757,703"
129,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010201001,122,Rumah Negara Golongan I Tipe A Permanen,"GRAHA PEJANTEN, JALAN PEJANTEN RAYA, PASAR MINGGU",,Baik,"GRAHA PEJANTEN, JALAN PEJANTEN RAYA, PASAR MINGGU",2023-08-31,"5.151.229.244,00","5,00E+09",Digunakan sendiri untuk operasional,,,Pejaten Raya,-/-',Pasar Minggu,Pasar Minggu,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,5",07451237364A9E06E0631561F20AA263,BMN PREFEREN NOMINATIF,3,"0,5",,"10101560,55"
130,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010201001,123,Rumah Negara Golongan I Tipe A Permanen,"GRAHA PEJANTEN, JALAN PEJANTEN RAYA, PASAR MINGGU",,Baik,"GRAHA PEJANTEN, JALAN PEJANTEN RAYA, PASAR MINGGU",2023-08-31,"5.151.229.244,00","5,00E+09",Digunakan sendiri untuk operasional,,,Pejaten Raya,-/-,Pasar Minggu,Pasar Minggu,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,5",07451237364B9E06E0631561F20AA263,BMN PREFEREN NOMINATIF,3,"0,5",,"10101560,55"
